"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3167","test","webkit","2026-01-26","passed","2026-01-26","","Tag1.spec.js","",""
"","8297","test","firefox","2026-01-26","passed","2026-01-26","","Dropdownlist.spec.js","",""
"","2084","has title","firefox","2026-01-26","passed","2026-01-26","","ScreenShotandVideo.spec.js","",""
"","7496","Simple alert","webkit","2026-01-26","passed","2026-01-26","","Alret.spec.js","",""
"","5040","test","firefox","2026-01-26","passed","2026-01-26","","Tag1.spec.js","",""
"","803","has title","chromium","2026-01-26","passed","2026-01-26","","tests\example.spec.js","",""
"","2488","has title","firefox","2026-01-26","passed","2026-01-26","","NewFileName.spec.js","",""
"","3814","test","chromium","2026-01-26","passed","2026-01-26","","Dropdownlist.spec.js","",""
"","557","Login To Application","chromium","2026-01-26","passed","2026-01-26","Login with users 001","ReadFromFile1.spec.js","",""
"","12526","Simple alert","firefox","2026-01-26","passed","2026-01-26","","Alret.spec.js","",""
"","1119","test with tag","webkit","2026-01-26","passed","2026-01-26","","Tags.spec.js","",""
"","6724","test","webkit","2026-01-26","passed","2026-01-26","","MouseHover.spec.js","",""
"","351","my test with metadata","webkit","2026-01-26","passed","2026-01-26","","Tags.spec.js","",""
"","1331","debug login page elements","chromium","2026-01-26","failed","2026-01-26","","debug_login_page.spec.js","",""
"","2510","has title","webkit","2026-01-26","passed","2026-01-26","","ScreenShotandVideo.spec.js","",""
"","5522","OrangeHRM - invalid password shows error","webkit","2026-01-26","passed","2026-01-26","","ErrorMessage.spec.js","",""
"","1212","has title","chromium","2026-01-26","passed","2026-01-26","","ScreenShotandVideo.spec.js","",""
"","731","reading data from JSON","webkit","2026-01-26","passed","2026-01-26","","ReadFromFile.spec.js","",""
"","4803","test","webkit","2026-01-26","passed","2026-01-26","","Dropdownlist.spec.js","",""
"","562","my test with metadata","firefox","2026-01-26","passed","2026-01-26","","Tags.spec.js","",""
"","1139","has title","webkit","2026-01-26","passed","2026-01-26","","NewFileName.spec.js","",""
"","573","Login To Application","chromium","2026-01-26","passed","2026-01-26","Login with users 002","ReadFromFile1.spec.js","",""
"","10202","OrangeHRM - invalid password shows error","firefox","2026-01-26","passed","2026-01-26","","ErrorMessage.spec.js","",""
"","948","Login To Application","webkit","2026-01-26","passed","2026-01-26","Login with users 002","ReadFromFile1.spec.js","",""
"","598","reading data from JSON","chromium","2026-01-26","passed","2026-01-26","","ReadFromFile.spec.js","",""
"","1722","Login To Application","firefox","2026-01-26","passed","2026-01-26","Login with users 001","ReadFromFile1.spec.js","",""
"","2683","get started link","firefox","2026-01-26","passed","2026-01-26","","tests\example.spec.js","",""
"","1137","debug login page elements","webkit","2026-01-26","passed","2026-01-26","","debug_login_page.spec.js","",""
"","1507","reading data from JSON","firefox","2026-01-26","passed","2026-01-26","","ReadFromFile.spec.js","",""
"","2311","Test the iFrame pages","chromium","2026-01-26","passed","2026-01-26","","Fram.spec.js","",""
"","720","has title","chromium","2026-01-26","passed","2026-01-26","","NewFileName.spec.js","",""
"","9263","test","firefox","2026-01-26","passed","2026-01-26","","MouseHover.spec.js","",""
"","6373","Simple alert","chromium","2026-01-26","passed","2026-01-26","","KeyBorad.spec.js","",""
"","2025","has title","firefox","2026-01-26","passed","2026-01-26","","tests\example.spec.js","",""
"","7377","Test for dropdown list","firefox","2026-01-26","passed","2026-01-26","","Record.spec.js","",""
"","562","Login To Application","chromium","2026-01-26","passed","2026-01-26","Login with users 003","ReadFromFile1.spec.js","",""
"","7053","Test for dropdown list","webkit","2026-01-26","passed","2026-01-26","","Record.spec.js","",""
"","1454","Login To Application","firefox","2026-01-26","passed","2026-01-26","Login with users 002","ReadFromFile1.spec.js","",""
"","1514","get started link","chromium","2026-01-26","passed","2026-01-26","","tests\example.spec.js","",""
"","1134","has title","webkit","2026-01-26","passed","2026-01-26","","tests\example.spec.js","",""
"","1128","Login To Application","webkit","2026-01-26","passed","2026-01-26","Login with users 003","ReadFromFile1.spec.js","",""
"","7557","Simple alert","webkit","2026-01-26","passed","2026-01-26","","KeyBorad.spec.js","",""
"","1483","Login To Application","firefox","2026-01-26","passed","2026-01-26","Login with users 003","ReadFromFile1.spec.js","",""
"","4355","Test the iFrame pages","webkit","2026-01-26","passed","2026-01-26","","Fram.spec.js","",""
"","1225","Login To Application","webkit","2026-01-26","passed","2026-01-26","Login with users 001","ReadFromFile1.spec.js","",""
"","631","test with tag","chromium","2026-01-26","passed","2026-01-26","","Tags.spec.js","",""
"","342","get started link","chromium","2026-01-26","passed","2026-01-26","","NewFileName.spec.js","",""
"","6877","Test for dropdown list","chromium","2026-01-26","passed","2026-01-26","","Record.spec.js","",""
"","6448","Test the iFrame pages","firefox","2026-01-26","passed","2026-01-26","","Fram.spec.js","",""
"","1683","get started link","webkit","2026-01-26","passed","2026-01-26","","tests\example.spec.js","",""
"","4717","test","chromium","2026-01-26","passed","2026-01-26","","MouseHover.spec.js","",""
"","113","my test with metadata","chromium","2026-01-26","passed","2026-01-26","","Tags.spec.js","",""
"","1618","test with tag","firefox","2026-01-26","passed","2026-01-26","","Tags.spec.js","",""
"","3169","test","chromium","2026-01-26","passed","2026-01-26","","Tag1.spec.js","",""
"","9824","Simple alert","firefox","2026-01-26","passed","2026-01-26","","KeyBorad.spec.js","",""
"","3307","debug login page elements","firefox","2026-01-26","passed","2026-01-26","","debug_login_page.spec.js","",""
"","3628","OrangeHRM - invalid password shows error","chromium","2026-01-26","passed","2026-01-26","","ErrorMessage.spec.js","",""
"","507","get started link","webkit","2026-01-26","passed","2026-01-26","","NewFileName.spec.js","",""
"","628","get started link","firefox","2026-01-26","passed","2026-01-26","","NewFileName.spec.js","",""
"","6791","Simple alert","chromium","2026-01-26","passed","2026-01-26","","Alret.spec.js","",""
